pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
11267488,20000000,589,490,0.5405,0.1088,0.2704,0.000403,0.25,0.55,2012-01-22,07eYKo6,"ts_zscore(anl35_rh_os_os,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5924724,20000000,592,641,0.5436,0.0572,0.2253,0.00021,0.21,0.65,2012-01-22,dxEWgrX,"ts_zscore(anl35_ip_ne_ne,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4201959,20000000,542,573,0.5519,0.0406,0.128,0.000147,0.14,0.5,2012-01-22,z9P3QLd,"ts_zscore(anl35_ne,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
3390914,20000000,675,721,0.5226,0.0327,0.2723,0.000125,0.1,0.4,2012-01-22,Ewg6r6G,"ts_zscore(anl35_os,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
3190422,20000000,502,545,0.5549,0.0308,0.1739,0.000111,0.09,0.38,2012-01-22,xxPrmQl,"ts_zscore(anl35_re_ne_ne,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
2139537,20000000,967,1190,0.4736,0.0207,0.2043,8.7e-05,0.06,0.28,2012-01-22,lVQAknn,"ts_zscore(anl35_ce,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1521404,20000000,528,544,0.5618,0.0147,0.1985,5.2e-05,0.03,0.17,2012-01-22,17aNoJM,"ts_zscore(anl35_rr_ne_ne,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
1238691,20000000,679,716,0.5257,0.012,0.2221,4.6e-05,0.02,0.12,2012-01-22,p6Vd1Eo,"ts_zscore(anl35_pc_db_gc,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
538852,20000000,570,632,0.5655,0.0052,0.2324,1.8e-05,0.01,0.07,2012-01-22,z9P3JXX,"ts_zscore(anl35_rp_uc_os,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-243464,20000000,659,732,0.5258,-0.0024,0.2733,-9e-06,-0.0,-0.03,2012-01-22,9wax9Ro,"ts_zscore(anl35_rs_hs_gc,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
