pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,is_ladder_sharpe
15350269,20000000,1467,1530,0.5407,0.1482,0.0584,0.000548,1.59,3.03,2012/1/22,RpaZq6b,"ts_zscore(anl69_eps_best_eeps_nxt_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
15350269,20000000,1467,1530,0.5407,0.1482,0.0584,0.000548,1.59,3.03,2012/1/22,RpaZq6b,"ts_zscore(anl69_epss_best_eeps_nxt_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
15350269,20000000,1467,1530,0.5407,0.1482,0.0584,0.000548,1.59,3.03,2012/1/22,AwaJrNd,"ts_zscore(anl69_net_best_eeps_nxt_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
15350269,20000000,1467,1530,0.5407,0.1482,0.0584,0.000548,1.59,3.03,2012/1/22,6wq3mQ5,"ts_zscore(anl69_roe_best_eeps_nxt_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
15350269,20000000,1467,1530,0.5407,0.1482,0.0584,0.000548,1.59,3.03,2012/1/22,OpkgW3b,"ts_zscore(anl69_sales_best_eeps_nxt_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13536342,20000000,1453,1513,0.5361,0.1307,0.0773,0.000488,1.44,2.92,2012/1/22,07d5OV2,"ts_zscore(anl69_ebit_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13536342,20000000,1453,1513,0.5361,0.1307,0.0773,0.000488,1.44,2.92,2012/1/22,7wQlWRO,"ts_zscore(anl69_eps_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13536342,20000000,1453,1513,0.5361,0.1307,0.0773,0.000488,1.44,2.92,2012/1/22,7wQlWRO,"ts_zscore(anl69_eps_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13536342,20000000,1453,1513,0.5361,0.1307,0.0773,0.000488,1.44,2.92,2012/1/22,Ewbxb5R,"ts_zscore(anl69_ndebt_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13536342,20000000,1453,1513,0.5361,0.1307,0.0773,0.000488,1.44,2.92,2012/1/22,z9je5qG,"ts_zscore(anl69_net_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13536342,20000000,1453,1513,0.5361,0.1307,0.0773,0.000488,1.44,2.92,2012/1/22,eOKEzdp,"ts_zscore(anl69_roe_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13536342,20000000,1453,1513,0.5361,0.1307,0.0773,0.000488,1.44,2.92,2012/1/22,ngorajE,"ts_zscore(anl69_sales_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
13127461,20000000,1496,1558,0.4777,0.1268,0.0773,0.000531,1.49,2.89,2012/1/22,5w9YwJJ,"ts_zscore(anl69_roa_best_eeps_cur_yr,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
5988406,20000000,728,827,0.7385,0.0578,0.4083,0.000157,0.1,0.35,2012/1/22,Kb6Zqzp,"ts_zscore(anl69_epss_expected_report_time,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,
5988406,20000000,728,827,0.7385,0.0578,0.4083,0.000157,0.1,0.35,2012/1/22,8zrXLOV,"ts_zscore(anl69_pe_expected_report_time,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,
6355322,20000000,687,809,0.814,0.0614,0.4443,0.000151,0.1,0.35,2012/1/22,9w6bLj9,"ts_zscore(anl69_roe_expected_report_time,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL
5988406,20000000,728,827,0.7385,0.0578,0.4083,0.000157,0.1,0.35,2012/1/22,5w63EW1,"ts_zscore(anl69_saless_expected_report_time,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,roLVGz3,"ts_zscore(anl69_cps_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,376gJ2X,"ts_zscore(anl69_dps_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,xxQ5OLN,"ts_zscore(anl69_ebit_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,Kb6Z3pg,"ts_zscore(anl69_eps_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,Kb6Z3pg,"ts_zscore(anl69_eps_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,Np6861o,"ts_zscore(anl69_ndebt_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,YpkwbPR,"ts_zscore(anl69_epss_expected_report_dt,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,YpmYNPA,"ts_zscore(anl69_net_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,07d5zxK,"ts_zscore(anl69_pe_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,PplrAKJ,"ts_zscore(anl69_pe_expected_report_dt,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,OpkgpWb,"ts_zscore(anl69_roa_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,Opkg75R,"ts_zscore(anl69_roe_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,Opkg75R,"ts_zscore(anl69_roe_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,6w1NMWK,"ts_zscore(anl69_sales_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,6w1NMWK,"ts_zscore(anl69_sales_best_cur_fiscal_year_period,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
0,0,0,0,0,0,0,0,,0,2012/1/22,oKzAobm,"ts_zscore(anl69_saless_expected_report_dt,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
-167917,20000000,1,1,0.0749,-0.0017,0.5042,-4.50E-05,0,-0.01,2012/1/22,z9oXLnd,"ts_zscore(anl69_dps_best_crncy_iso,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,
-167917,20000000,1,1,0.0749,-0.0017,0.5042,-4.50E-05,0,-0.01,2012/1/22,qAzkvmK,"ts_zscore(anl69_eps_best_crncy_iso,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,
-167917,20000000,1,1,0.0749,-0.0017,0.5042,-4.50E-05,0,-0.01,2012/1/22,adlGMwW,"ts_zscore(anl69_ndebt_best_crncy_iso,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,
-167917,20000000,1,1,0.0749,-0.0017,0.5042,-4.50E-05,0,-0.01,2012/1/22,8z675NX,"ts_zscore(anl69_roe_best_crncy_iso,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,
