pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
4966614,20000000,199,197,0.6868,0.048,0.286,0.00014,0.1,0.37,2012-01-22,9w955Qd,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_accum_depr,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2082781,20000000,117,101,0.5672,0.0201,0.3176,7.1e-05,0.03,0.14,2012-01-22,g1mNN3K,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_amt_of_tsy_stock,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
1082402,20000000,510,481,0.55,0.0105,0.1955,3.8e-05,0.02,0.17,2012-01-22,MpbvvxL,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_cash_near_cash_item,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
342678,20000000,447,399,0.5644,0.0033,0.2492,1.2e-05,0.0,0.05,2012-01-22,adNmm3O,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_acct_note_rcv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-121715,20000000,406,374,0.5631,-0.0012,0.303,-4e-06,-0.0,-0.01,2012-01-22,oKnjje6,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_acct_payable,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
8929117,20000000,185,158,0.6493,0.0862,0.2156,0.000266,0.21,0.58,2012-01-22,9w9eqX1,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_sh_cap_and_apic,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
3453511,20000000,264,259,0.5698,0.0333,0.182,0.000117,0.09,0.39,2012-01-22,Ewqn95P,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_def_tax_liab,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2004907,20000000,256,247,0.5449,0.0194,0.2005,7.1e-05,0.04,0.23,2012-01-22,WpNr52G,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_mkt_sec_other_st_invest,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1983541,20000000,497,443,0.5873,0.0192,0.2863,6.5e-05,0.04,0.24,2012-01-22,Awnp1GX,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_retain_earn,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1941906,20000000,118,114,0.6168,0.0188,0.5042,6.1e-05,0.02,0.12,2012-01-22,PpnR07w,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_sh_out,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
720266,20000000,508,454,0.5552,0.007,0.1889,2.5e-05,0.01,0.11,2012-01-22,07AVmKK,"ts_zscore(fnd72_s_pit_or_bs_q_1_bs_other_st_liab,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
