pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
6233081,20000000,458,472,0.7873,0.0602,0.0693,0.000153,0.33,1.19,2012-01-22,lVzwLk7,"ts_zscore(mdl106_dividend,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2498840,20000000,169,169,0.7869,0.0241,0.1063,6.1e-05,0.1,0.57,2012-01-22,LpXojm6,"ts_zscore(mdl106_tre,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2004321,20000000,112,110,0.7883,0.0194,0.1453,4.9e-05,0.07,0.47,2012-01-22,VplQ9ZG,"ts_zscore(mdl106_rv,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
1082881,20000000,555,547,0.7863,0.0105,0.1159,2.7e-05,0.03,0.26,2012-01-22,QalR1qw,"ts_zscore(mdl106_fmb,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
636251,20000000,388,400,0.787,0.0061,0.0974,1.6e-05,0.01,0.14,2012-01-22,27ZV1KJ,"ts_zscore(mdl106_fnb,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
177120,20000000,152,155,0.7883,0.0017,0.1345,4e-06,0.0,0.04,2012-01-22,LpXoPRM,"ts_zscore(mdl106_global_evaluation,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-51098,20000000,36,37,0.7886,-0.0005,0.2841,-1e-06,-0.0,-0.01,2012-01-22,dx7J2xK,"ts_zscore(mdl106_risk,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-620440,20000000,302,309,0.7873,-0.006,0.1969,-1.5e-05,-0.01,-0.16,2012-01-22,XplZrVx,"ts_zscore(mdl106_stars,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1036882,20000000,563,571,0.7871,-0.01,0.2329,-2.5e-05,-0.03,-0.26,2012-01-22,EwanZKR,"ts_zscore(mdl106_pr,12)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-2183942,20000000,297,290,0.7891,-0.0211,0.3493,-5.3e-05,-0.06,-0.37,2012-01-22,ngzG9vw,"ts_zscore(mdl106_tt,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-5831147,20000000,558,538,0.7874,-0.0564,0.6802,-0.000143,-0.24,-0.91,2012-01-22,JpXaVpE,"ts_zscore(mdl106_price,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-6843284,20000000,570,552,0.7873,-0.0661,0.7059,-0.000168,-0.32,-1.1,2012-01-22,WpXrEpj,"ts_zscore(mdl106_mkt_cap,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,376mM3Q,"ts_zscore(mdl106_country,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS
0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,RpaxMEo,"ts_zscore(mdl106_ycc,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS
