pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
28055134,20000000,1,1,1.1068,0.271,0.8304,0.00049,0.35,0.7,2012-01-22,EwKO7kP,"ts_zscore(mdl211_delta_epsy_y1_mae,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
6206970,20000000,1067,1056,0.6055,0.0599,0.1574,0.000198,0.25,0.78,2012-01-22,6wEm8EP,"ts_zscore(mdl211_delta_epsy_y1_predict,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
7095209,20000000,89,60,0.5804,0.0685,0.3681,0.000236,0.14,0.4,2012-01-22,AwnALdE,"ts_zscore(mdl211_delta_epsq_q4_madp,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5140627,20000000,90,61,0.5817,0.0496,0.43,0.000171,0.09,0.31,2012-01-22,37ENG20,"ts_zscore(mdl211_delta_epsq_q3_madp,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3798428,20000000,105,70,0.5858,0.0367,0.3621,0.000125,0.07,0.26,2012-01-22,MpbrYO9,"ts_zscore(mdl211_delta_epsq_q2_madp,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3762004,20000000,88,60,0.5853,0.0363,0.357,0.000124,0.06,0.25,2012-01-22,LpnQ50e,"ts_zscore(mdl211_delta_epsq_q1_madp,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
8099760,20000000,1,1,1.1054,0.0782,0.9409,0.000142,0.05,0.2,2012-01-22,Xpk0Nlm,"ts_zscore(mdl211_delta_epsy_y1_mada,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
2991760,20000000,113,73,0.5865,0.0289,0.4087,9.9e-05,0.04,0.2,2012-01-22,27vYGZP,"ts_zscore(mdl211_delta_epsy_y1_madp,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3438908,20000000,22,27,1.6329,0.0332,0.49,4.1e-05,0.03,0.2,2012-01-22,NpnZN0q,"ts_zscore(mdl211_delta_epsq_q3_mada,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-340862,20000000,22,27,1.6205,-0.0033,0.6437,-4e-06,-0.0,-0.02,2012-01-22,adNpVp5,"ts_zscore(mdl211_delta_epsq_q1_mada,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-868751,20000000,24,25,1.6181,-0.0084,0.6117,-1e-05,-0.0,-0.05,2012-01-22,Qan8Yw5,"ts_zscore(mdl211_delta_epsq_q1_mae,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-660289,20000000,22,27,1.6345,-0.0064,0.6039,-8e-06,-0.0,-0.04,2012-01-22,ngnE6bd,"ts_zscore(mdl211_delta_epsq_q4_mada,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-2189654,20000000,22,27,1.6256,-0.0211,0.5367,-2.6e-05,-0.01,-0.13,2012-01-22,Kbn1J3l,"ts_zscore(mdl211_delta_epsq_q2_mada,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2813737,20000000,24,25,1.622,-0.0272,0.4507,-3.4e-05,-0.02,-0.19,2012-01-22,dxnGWkY,"ts_zscore(mdl211_delta_epsq_q2_mae,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1987162,20000000,1077,1076,0.6324,-0.0192,0.4239,-6.1e-05,-0.04,-0.22,2012-01-22,g1m2e6J,"ts_zscore(mdl211_delta_epsq_q2_predict,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2521984,20000000,1059,1059,0.633,-0.0244,0.4113,-7.7e-05,-0.05,-0.28,2012-01-22,lV7mgYe,"ts_zscore(mdl211_delta_epsq_q3_predict,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2358826,20000000,1099,1102,0.6282,-0.0228,0.4377,-7.3e-05,-0.06,-0.29,2012-01-22,17oMNkR,"ts_zscore(mdl211_delta_epsq_q1_predict,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-5380637,20000000,24,24,1.6228,-0.052,0.6819,-6.4e-05,-0.06,-0.32,2012-01-22,9w9nGoq,"ts_zscore(mdl211_delta_epsq_q4_mae,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-4021932,20000000,1023,1031,0.6351,-0.0388,0.5771,-0.000122,-0.11,-0.46,2012-01-22,6wRkG1J,"ts_zscore(mdl211_delta_epsq_q4_predict,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
