pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,is_ladder_sharpe
1098154,20000000,87,55,0.6964,1.4449,0.0179,0.00415,13.18,9.15,2012/1/22,wRJpVg2,"ts_zscore(mdl38_iv_year_div,12)",FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
14403888,20000000,2996,2902,0.6571,0.1391,0.0355,0.000423,1.6,3.47,2012/1/22,9wAq25q,"ts_zscore(star_val_piv_sector_rank,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
12484481,20000000,2325,2267,0.6721,0.1206,0.0258,0.000359,1.45,3.42,2012/1/22,LplL2xa,"ts_zscore(star_val_piv_industry_rank,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
15971511,20000000,3016,2899,0.6272,0.1542,0.0426,0.000492,1.68,3.39,2012/1/22,27nr2o5,"ts_zscore(star_val_piv_region_rank,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
13579248,20000000,3780,3689,0.6454,0.1311,0.0306,0.000406,1.53,3.39,2012/1/22,27nre6Y,"ts_zscore(star_val_sector_rank,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
11184051,20000000,3375,3316,0.6628,0.108,0.0263,0.000326,1.34,3.33,2012/1/22,PpX0xK7,"ts_zscore(star_val_industry_rank,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
15157190,20000000,3695,3570,0.6105,0.1464,0.038,0.000479,1.61,3.29,2012/1/22,PpX0Kz7,"ts_zscore(star_val_region_rank,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
9693698,20000000,1571,1360,0.488,0.1031,0.0561,0.000423,1.37,2.97,2012/1/22,ZpWY0rj,"ts_zscore(star_val_earnings_projection_fy2,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
9549500,20000000,1629,1406,0.4924,0.1016,0.0491,0.000413,1.34,2.95,2012/1/22,eOq79L6,"ts_zscore(star_val_earnings_projection_fy3,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
9060539,20000000,1670,1448,0.496,0.0964,0.0481,0.000389,1.23,2.78,2012/1/22,VpYkaVA,"ts_zscore(star_val_earnings_projection_fy4,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
8723304,20000000,1704,1485,0.5,0.0928,0.0554,0.000371,1.16,2.69,2012/1/22,XpYgbrl,"ts_zscore(star_val_earnings_projection_fy5,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
8855214,20000000,804,774,0.477,0.0942,0.0323,0.000395,1.17,2.63,2012/1/22,k3Lqbx6,"ts_zscore(star_val_dividend_projection_fy1,12)",FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
8302253,20000000,1739,1523,0.5042,0.0883,0.0533,0.00035,1.08,2.58,2012/1/22,m8xLm36,"ts_zscore(star_val_earnings_projection_fy6,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
8553184,20000000,1351,1287,0.4936,0.091,0.0808,0.000369,1.1,2.57,2012/1/22,jZd2Z3W,"ts_zscore(star_val_earnings_projection_fy1,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
7744816,20000000,1775,1562,0.508,0.0824,0.0498,0.000324,0.98,2.43,2012/1/22,Gw3rgOx,"ts_zscore(star_val_earnings_projection_fy7,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
17271213,20000000,3575,3487,0.6324,0.1837,0.0877,0.000581,1.25,2.32,2012/1/22,YpWP9qM,"ts_zscore(star_val_pe,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
7627236,20000000,854,823,0.4967,0.0811,0.0323,0.000327,0.93,2.3,2012/1/22,Qa5PqVp,"ts_zscore(star_val_dividend_projection_fy2,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
15210083,20000000,3155,3061,0.5884,0.1618,0.0757,0.00055,1.19,2.27,2012/1/22,vLJRVVw,"ts_zscore(mdl38_rel_val_ev_ebitda,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
16790907,20000000,3666,3562,0.611,0.1621,0.075,0.000531,1.16,2.25,2012/1/22,YpWPddM,"ts_zscore(mdl38_rel_val_global_rk,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,
7085478,20000000,1811,1600,0.5114,0.0754,0.0504,0.000295,0.86,2.25,2012/1/22,xxmA11g,"ts_zscore(star_val_earnings_projection_fy8,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
6833142,20000000,931,901,0.4997,0.0727,0.0318,0.000291,0.81,2.13,2012/1/22,9wAqA32,"ts_zscore(star_val_dividend_projection_fy3,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
6595914,20000000,975,945,0.5006,0.0702,0.0288,0.00028,0.79,2.11,2012/1/22,Mp5P5N9,"ts_zscore(star_val_dividend_projection_fy4,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
6294287,20000000,1815,1650,0.5141,0.067,0.0298,0.00026,0.76,2.11,2012/1/22,Qa5Pabw,"ts_zscore(star_val_dividend_projection_fy9,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
6478519,20000000,1004,973,0.5004,0.0689,0.0265,0.000275,0.78,2.1,2012/1/22,7wK8wY5,"ts_zscore(star_val_dividend_projection_fy5,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
6530756,20000000,1554,1429,0.5037,0.0695,0.0336,0.000276,0.78,2.1,2012/1/22,LplLp8n,"ts_zscore(star_val_dividend_projection_fy6,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
6552959,20000000,1845,1636,0.5141,0.0697,0.0535,0.000271,0.77,2.1,2012/1/22,27nr9VN,"ts_zscore(star_val_earnings_projection_fy9,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
6162426,20000000,1864,1690,0.5162,0.0656,0.028,0.000254,0.74,2.07,2012/1/22,Op50q0b,"ts_zscore(star_val_dividend_projection_fy10,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
6273443,20000000,1668,1528,0.5077,0.0667,0.0318,0.000263,0.75,2.07,2012/1/22,KbwPbVg,"ts_zscore(star_val_dividend_projection_fy7,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
6073518,20000000,1750,1598,0.5112,0.0646,0.0343,0.000253,0.72,2.03,2012/1/22,xxmAx3b,"ts_zscore(star_val_dividend_projection_fy8,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
5911483,20000000,1892,1706,0.5176,0.0629,0.0362,0.000243,0.69,1.98,2012/1/22,RpkRqnn,"ts_zscore(star_val_dividend_projection_fy11,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
14413169,20000000,2735,2692,0.6583,0.1533,0.0908,0.000466,0.96,1.98,2012/1/22,wRJpRbl,"ts_zscore(star_val_dividend_yield,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
6065882,20000000,1873,1665,0.5161,0.0645,0.0568,0.00025,0.69,1.96,2012/1/22,vLJRLkv,"ts_zscore(star_val_earnings_projection_fy10,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
13240856,20000000,2901,2819,0.6291,0.1409,0.0837,0.000448,0.91,1.92,2012/1/22,9wAq20o,"ts_zscore(star_val_pcf,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS
5770457,20000000,1907,1712,0.5184,0.0614,0.047,0.000237,0.65,1.9,2012/1/22,07Km90p,"ts_zscore(star_val_dividend_projection_fy12,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
5743587,20000000,1895,1689,0.5174,0.0611,0.0553,0.000236,0.64,1.87,2012/1/22,VpYkp65,"ts_zscore(star_val_earnings_projection_fy11,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
5933897,20000000,2139,1677,0.5073,0.0631,0.0361,0.000249,0.66,1.87,2012/1/22,qAmMOwK,"ts_zscore(star_val_iv_projection,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
5611669,20000000,1918,1719,0.5191,0.0597,0.0484,0.00023,0.62,1.84,2012/1/22,Ewr5YJ1,"ts_zscore(star_val_dividend_projection_fy13,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
5599054,20000000,1912,1707,0.5184,0.0596,0.0525,0.00023,0.62,1.83,2012/1/22,ngOpPRl,"ts_zscore(star_val_earnings_projection_fy12,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
5553815,20000000,1928,1725,0.5196,0.0591,0.0512,0.000227,0.61,1.82,2012/1/22,ngOpY23,"ts_zscore(star_val_dividend_projection_fy14,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,
13847984,20000000,2855,2774,0.6129,0.1473,0.1005,0.000481,0.88,1.79,2012/1/22,5wq8rmo,"ts_zscore(star_val_ev_sales,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
