pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
15781444,20000000,4037,3940,0.5972,0.1524,0.0672,0.00051,1.15,2.28,2012/1/22,Pp1aX3x,"ts_zscore(oth450_mfm_gem3_ri_earnyield,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
13621340,20000000,3909,3820,0.5917,0.1315,0.0846,0.000445,0.89,1.89,2012/1/22,p67r7Rj,"ts_zscore(oth450_mfm_gem3_ri_value,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
9862607,20000000,4092,4003,0.5847,0.0952,0.0873,0.000326,0.57,1.41,2012/1/22,17gbnd6,"ts_zscore(oth450_mfm_gem3_ri_divyield,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
4949195,20000000,3209,3183,0.5938,0.0478,0.1166,0.000161,0.24,0.83,2012/1/22,vLmMJNr,"ts_zscore(oth450_mfm_gem3_ri_leverage,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
3565675,20000000,3775,4619,0.4665,0.0344,0.08,0.000148,0.18,0.67,2012/1/22,Aw3Zk8R,"ts_zscore(oth450_mfm_gem3_ri_volatility,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
991200,20000000,3544,4575,0.4249,0.0096,0.1593,4.50E-05,0.03,0.18,2012/1/22,oKY5V0v,"ts_zscore(oth450_mfm_gem3_srisk,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
610853,20000000,3147,3231,0.5556,0.0059,0.141,2.10E-05,0.02,0.15,2012/1/22,Aw3ZOGY,"ts_zscore(oth450_mfm_gem3_ri_growth,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
654636,20000000,4087,4273,0.2178,0.0063,0.1249,5.80E-05,0.02,0.12,2012/1/22,g13Oo8l,"ts_zscore(oth450_mfm_gem3_ri_momentum,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
-806352,20000000,4142,4243,0.4704,-0.0078,0.2653,-3.30E-05,-0.01,-0.11,2012/1/22,7wdbKw5,"ts_zscore(oth450_mfm_gem3_ri_beta,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-6429359,20000000,0,0,0.071,-0.0623,1.2112,-0.001756,-0.12,-0.17,2012/1/22,37ArnzQ,"ts_zscore(oth450_mfm_gem3_cnt_japan,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
-4248835,20000000,3982,4001,0.6247,-0.041,0.4975,-0.000131,-0.19,-0.75,2012/1/22,LpRaR9v,"ts_zscore(oth450_mfm_gem3_ri_nonlsize,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-11083540,20000000,3907,3991,0.6025,-0.107,1.1401,-0.000355,-0.55,-1.31,2012/1/22,07838XK,"ts_zscore(oth450_mfm_gem3_ri_size,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
-11449029,20000000,4107,4285,1.37,-0.1106,1.1727,-0.000161,-0.6,-2.11,2012/1/22,27KznJw,"ts_zscore(oth450_mfm_gem3_dsrt,12)",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
0,0,0,0,0,0,0,0,,0,2012/1/22,oKY59Ym,"ts_zscore(oth450_mfm_gem3_market,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS
