pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
6438865,20000000,3,3,0.3637,0.0689,0.4092,0.000379,0.19,0.43,2012-01-22,9wR1WRr,"ts_zscore(oth452_liability_d1_asset_change,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6505245,20000000,3,3,0.3646,0.0696,0.4092,0.000382,0.19,0.43,2012-01-22,Pp1aGMK,"ts_zscore(oth452_accrualsratio_d1_asset_change,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2816020,20000000,0,0,0.0873,0.0331,0.1303,0.000757,0.19,0.37,2012-01-22,bL9ZQ6p,"ts_zscore(oth452_deferred_tax_expense_11,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
3774755,20000000,10,10,0.3951,0.0404,0.0967,0.000204,0.17,0.53,2012-01-22,dxQV1Wx,"ts_zscore(oth452_deferred_tax_liability_13,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3316792,20000000,12,12,0.3874,0.0356,0.4314,0.000184,0.09,0.31,2012-01-22,adOZxOv,"ts_zscore(oth452_expense_d1_asset_change,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
797436,20000000,0,0,0.0171,0.0122,0.0639,0.001424,0.07,0.23,2012-01-22,0783pwK,"ts_zscore(oth452_deferred_tax_expense_41,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
810750,20000000,0,0,0.0919,0.0106,0.1835,0.000232,0.03,0.1,2012-01-22,JpdEG9x,"ts_zscore(oth452_deferred_tax_expense_22,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
462848,20000000,0,0,0.0874,0.0058,0.2459,0.000133,0.02,0.07,2012-01-22,17gbpM6,"ts_zscore(oth452_deferred_tax_expense_21,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-75642,20000000,3,3,0.3855,-0.0008,0.5508,-4e-06,-0.0,-0.01,2012-01-22,WpgQO2x,"ts_zscore(oth452_liability_d1_dts,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-121831,20000000,0,0,0.0599,-0.0014,0.255,-4.7e-05,-0.0,-0.02,2012-01-22,z9W6NVV,"ts_zscore(oth452_deferred_tax_expense_31,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-270836,20000000,2,2,0.3534,-0.0029,0.6382,-1.6e-05,-0.0,-0.02,2012-01-22,8zL9Pq7,"ts_zscore(oth452_deferred_tax_liability_22,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
