pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
-8013017,20000000,4025,4000,0.6292,-0.0774,0.9443,-0.000246,-0.29,-0.84,2012-01-22,xxn08Yn,"ts_zscore(pv37_close_global4h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-8327765,20000000,4033,3997,0.6291,-0.0804,0.9774,-0.000256,-0.31,-0.87,2012-01-22,qAXo9EE,"ts_zscore(pv37_cap_global4h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-9446804,20000000,4033,4006,0.6272,-0.0912,1.0542,-0.000291,-0.37,-0.97,2012-01-22,oKYM56m,"ts_zscore(pv37_close_global3h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-9431337,20000000,4034,4006,0.6276,-0.0911,1.0611,-0.00029,-0.37,-0.98,2012-01-22,6wEvmdO,"ts_zscore(pv37_close_13,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-9766147,20000000,4037,3997,0.6272,-0.0943,1.0874,-0.000301,-0.39,-1.01,2012-01-22,xxn8JNw,"ts_zscore(pv37_cap_global3h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-9757131,20000000,4035,3997,0.6275,-0.0942,1.0946,-0.0003,-0.39,-1.01,2012-01-22,roWgZPJ,"ts_zscore(pv37_cap_13,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-10087933,20000000,4034,4006,0.6259,-0.0974,1.0713,-0.000311,-0.41,-1.03,2012-01-22,vLm3wZw,"ts_zscore(pv37_close_global2h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-10362621,20000000,4038,4008,0.6265,-0.1001,1.1073,-0.000319,-0.42,-1.06,2012-01-22,qAXo9LE,"ts_zscore(pv37_close_14,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-10391940,20000000,4037,3997,0.6258,-0.1003,1.1035,-0.000321,-0.43,-1.07,2012-01-22,g13On9M,"ts_zscore(pv37_cap_global2h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-10798943,20000000,4038,4010,0.6288,-0.1043,1.138,-0.000332,-0.44,-1.09,2012-01-22,17gQkwJ,"ts_zscore(pv37_close_15,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-10668881,20000000,4039,4000,0.6264,-0.103,1.1398,-0.000329,-0.44,-1.09,2012-01-22,lV0Oo35,"ts_zscore(pv37_cap_14,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-10715092,20000000,4037,4008,0.6277,-0.1035,1.1124,-0.00033,-0.44,-1.08,2012-01-22,LpRAV96,"ts_zscore(pv37_close_global1h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11023972,20000000,4042,4003,0.6276,-0.1065,1.1446,-0.000339,-0.46,-1.12,2012-01-22,m8XREjx,"ts_zscore(pv37_cap_global1h,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11193887,20000000,4041,4012,0.6292,-0.1081,1.1528,-0.000344,-0.46,-1.12,2012-01-22,37AZQ1X,"ts_zscore(pv37_close_global30m,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11117366,20000000,4038,3999,0.6287,-0.1074,1.1713,-0.000342,-0.47,-1.13,2012-01-22,oKY5xN5,"ts_zscore(pv37_cap_15,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11494938,20000000,4043,4005,0.6291,-0.111,1.1845,-0.000353,-0.48,-1.15,2012-01-22,ngWRL8l,"ts_zscore(pv37_cap_global30m,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11464024,20000000,4038,4010,0.6299,-0.1107,1.1738,-0.000351,-0.48,-1.15,2012-01-22,0780OGp,"ts_zscore(pv37_close_global2,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11381393,20000000,4037,4009,0.6312,-0.1099,1.1866,-0.000348,-0.48,-1.14,2012-01-22,p67AYjb,"ts_zscore(pv37_close_global,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11685173,20000000,4046,4006,0.6311,-0.1128,1.2186,-0.000358,-0.5,-1.18,2012-01-22,07831p2,"ts_zscore(pv37_cap_global,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-11766828,20000000,4041,4002,0.6297,-0.1136,1.2053,-0.000361,-0.5,-1.18,2012-01-22,Vp8jA7M,"ts_zscore(pv37_cap_global2,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
