pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,is_ladder_sharpe
17429944,20000000,145,129,0.6037,0.1683,0.1273,0.000558,1.03,1.95,2012-01-22,AwO23JW,"ts_zscore(pv96_eqy_last_dps_gross,12)",FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
17429944,20000000,145,129,0.6037,0.1683,0.1273,0.000558,1.03,1.95,2012-01-22,rornoNE,"ts_zscore(pv96_last_dps_gross,12)",FAIL,PASS,PASS,PASS,PASS,PASS,PASS,
16576727,20000000,146,129,0.6038,0.1601,0.1285,0.00053,0.98,1.91,2012-01-22,17n2Jz6,"ts_zscore(pv96_eqy_dvd_sh_last,12)",FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,
16576727,20000000,146,129,0.6038,0.1601,0.1285,0.00053,0.98,1.91,2012-01-22,z9JLORV,"ts_zscore(pv96_dvd_sh_last,12)",FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,
9852312,20000000,220,196,0.6079,0.0951,0.2149,0.000313,0.41,1.04,2012-01-22,ngOX32q,"ts_zscore(pv96_eqy_dvd_sh_12m_net,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
9670182,20000000,220,196,0.6068,0.0934,0.2428,0.000308,0.4,1.01,2012-01-22,VpYRp8M,"ts_zscore(pv96_m21_hs_dvd_yqe,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
9670182,20000000,220,196,0.6068,0.0934,0.2428,0.000308,0.4,1.01,2012-01-22,PpXApYp,"ts_zscore(pv96_m21_hs_dvd,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
7785757,20000000,32,33,0.6028,0.0752,0.8154,0.00025,0.08,0.24,2012-01-22,wRJvLE2,"ts_zscore(pv96_dvd_record_dt,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
3267284,20000000,93,104,0.6119,0.0315,0.4847,0.000103,0.06,0.25,2012-01-22,oK9kYQk,"ts_zscore(pv96_eqy_dvd_typ_last,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
6415465,20000000,26,28,0.5886,0.0619,0.9022,0.000211,0.06,0.19,2012-01-22,17n2deR,"ts_zscore(pv96_td_xe_dvd,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
6244455,20000000,1,1,0.298,0.0615,3.0683,0.000413,0.04,0.08,2012-01-22,Rpkvpln,"ts_zscore(pv96_eqy_split_ratio,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,
810108,20000000,102,94,0.6132,0.0078,0.5448,2.6e-05,0.01,0.06,2012-01-22,Rpkvdmn,"ts_zscore(pv96_dvd_typ_last,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,
-5299123,20000000,0,0,0.2218,-0.0524,3.7104,-0.000472,-0.03,-0.06,2012-01-22,Qa5oQr5,"ts_zscore(pv96_eqy_split_dt,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,
-7624453,20000000,55,304,1.5693,-0.0736,1.0321,-9.4e-05,-0.1,-0.47,2012-01-22,Mp52kQa,"ts_zscore(pv96_eqy_dvd_ex_flag,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,
-20122439,20000000,8,8,0.5839,-0.1945,3.3297,-0.000666,-0.26,-0.45,2012-01-22,eOqWOrM,"ts_zscore(pv96_qerf_dvd,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
-20161247,20000000,8,8,0.5842,-0.1948,3.3302,-0.000667,-0.26,-0.45,2012-01-22,bLWKLLp,"ts_zscore(pv96_qerf_dvd_yqe,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,
0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,Jp52Owl,"ts_zscore(pv96_ticketmap,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,
-12567958,20000000,3,3,0.4929,-0.1215,1.9715,-0.000493,-0.11,-0.22,2012-01-22,wRJvEmv,"ts_zscore(pv96_ycnrc_dvd,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL
