pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
11411369,20000000,3755,3772,0.5314,0.1102,0.0283,0.000415,1.74,3.82,2012/1/22,rooP7l3,"ts_zscore(rsk70_mfm2_gemtrd_anlystsn,12)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
16025857,20000000,3549,3550,0.5913,0.1547,0.0557,0.000523,1.48,2.89,2012/1/22,xxxd2ag,"ts_zscore(rsk70_mfm2_gemtrd_earnyild,12)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS
8468364,20000000,2703,2650,0.5278,0.0818,0.0737,0.00031,0.63,1.59,2012/1/22,xxxdvjN,"ts_zscore(rsk70_mfm2_gemtrd_divyild,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS
9255430,20000000,3375,3439,0.5635,0.0894,0.1189,0.000317,0.62,1.56,2012/1/22,m88V09E,"ts_zscore(rsk70_mfm2_gemtrd_earnvar,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6440610,20000000,3392,3345,0.5717,0.0622,0.1004,0.000218,0.34,1.04,2012/1/22,bLLdaq6,"ts_zscore(rsk70_mfm2_gemtrd_btop,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5413465,20000000,2999,3017,0.5638,0.0523,0.101,0.000185,0.19,0.64,2012/1/22,wRRE3vx,"ts_zscore(rsk70_mfm2_gemtrd_leverage,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2421660,20000000,4179,4187,0.396,0.0234,0.0814,0.000118,0.18,0.74,2012/1/22,5wwkrmM,"ts_zscore(rsk70_mfm2_gemtrd_indmom,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3435960,20000000,3271,3262,0.5534,0.0332,0.1375,0.00012,0.12,0.48,2012/1/22,k33ZaVd,"ts_zscore(rsk70_mfm2_gemtrd_earnqlty,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
1589281,20000000,4219,4161,0.1926,0.0153,0.1393,0.000159,0.1,0.37,2012/1/22,7wwn32Q,"ts_zscore(rsk70_mfm2_gemtrd_ltrevrsl,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1173514,20000000,330,323,0.4875,0.0113,0.2624,4.60E-05,0.03,0.18,2012/1/22,xxxdvnJ,"ts_zscore(rsk70_mfm2_gemtrd_cnt_jpn,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
