,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,18322666,20000000,1152,1167,0.1144,0.1834,0.3971,0.003206,0.97,0.8,2012-01-22,QaJbGAX,"ts_skewness(vec_avg(anl27_recprofitabilityprev_analyst_analyst),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,14497852,20000000,1207,1281,0.0503,0.1452,0.3153,0.005766,0.67,0.62,2012-01-22,AwWNkzd,"ts_skewness(vec_avg(anl27_analyst_correct_revision_times),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,10181971,20000000,1220,1267,0.0463,0.1019,0.4107,0.0044,0.4,0.44,2012-01-22,jZEAZkQ,"ts_skewness(vec_avg(anl27_estimator_correct_revision_times),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
3,10065519,20000000,1170,1195,0.0324,0.1008,0.4755,0.006219,0.39,0.43,2012-01-22,Rp3bpY0,"ts_skewness(vec_avg(anl27_estimator_accuracy1),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,7377406,20000000,1164,1223,0.0414,0.0739,0.5247,0.003568,0.29,0.38,2012-01-22,OpYNpWp,"ts_skewness(vec_avg(anl27_estimator_accuracy2),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,3515761,20000000,1015,1083,0.1444,0.0352,0.177,0.000488,0.28,0.57,2012-01-22,vLqrdGa,"ts_skewness(vec_avg(anl27_accuracy_analyst_analyst),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,3515761,20000000,1015,1083,0.1444,0.0352,0.177,0.000488,0.28,0.57,2012-01-22,7wANwQ8,"ts_skewness(vec_avg(anl27_correv_analyst_analyst),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,5738469,20000000,1132,1250,0.0348,0.0575,0.3706,0.003305,0.22,0.33,2012-01-22,07lX722,"ts_skewness(vec_avg(anl27_estimator_correct_forecast_times2),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
8,5891322,20000000,1190,1241,0.0485,0.059,0.4394,0.002432,0.21,0.3,2012-01-22,Rp3bdzj,"ts_skewness(vec_avg(anl27_analyst_correct_revision_ratio),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,1636766,20000000,1023,1103,0.097,0.0164,0.0418,0.000338,0.21,0.59,2012-01-22,GwabLYP,"ts_skewness(vec_avg(anl27_estimator_relative_accuracy4),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
10,6062062,20000000,1257,1254,0.0429,0.0607,0.7242,0.002829,0.17,0.25,2012-01-22,g1AbxGQ,"ts_skewness(vec_avg(anl27_analyst_correct_forecast_times1),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,1331258,20000000,1095,1043,0.098,0.0133,0.0548,0.000272,0.15,0.45,2012-01-22,dxXbxzK,"ts_skewness(vec_avg(anl27_estimator_relative_accuracy2),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
12,1314734,20000000,1337,1320,0.0704,0.0132,0.0565,0.000374,0.15,0.46,2012-01-22,qA1xl32,"ts_skewness(vec_avg(anl27_profitabilityprev_analyst_profitability1),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
13,1284080,20000000,1069,1292,0.1175,0.0129,0.0501,0.000219,0.14,0.43,2012-01-22,07lXwXk,"ts_skewness(vec_avg(anl27_recprofitabilityprev_analyst_total_forecast_times),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
