,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,420984,20000000,0,1,0.1667,0.8771,0.0219,0.010525,9.82,4.28,2012-01-22,8zmWRYX,"ts_skewness(vec_avg(fnd14_td_nve_cns_tda_rpr_tsl),120)",FAIL,PASS,PASS,PASS,ERROR,PASS,WARNING,WARNING
1,20672148,20000000,11,12,0.1197,0.5933,0.2776,0.009917,3.42,1.57,2012-01-22,wR87RY5,"ts_skewness(vec_avg(fnd14_bus_state),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
2,20500490,20000000,11,11,0.1192,0.5884,0.2776,0.009872,3.38,1.56,2012-01-22,dx2JOPj,"ts_skewness(vec_avg(fnd14_loc_state),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
3,20431270,20000000,11,11,0.1187,0.5864,0.2704,0.009882,3.36,1.55,2012-01-22,bLY0LxM,"ts_skewness(vec_avg(fnd14_bus_state_name),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
4,20331175,20000000,11,11,0.1183,0.5836,0.2704,0.009868,3.35,1.55,2012-01-22,ro1a5w1,"ts_skewness(vec_avg(fnd14_loc_state_name),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
5,11050698,20000000,16,15,0.1605,0.3157,0.2487,0.003934,1.56,1.11,2012-01-22,oK1jK6b,"ts_skewness(vec_avg(fnd14_bus_county_name),120)",FAIL,PASS,PASS,FAIL,FAIL,PASS,WARNING,WARNING
6,14774584,20000000,11,11,0.1298,0.4705,0.5845,0.007248,1.5,0.79,2012-01-22,AwRX3pg,"ts_skewness(vec_avg(fnd14_accel_filer_is_shell_company),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
7,9557111,20000000,484,388,0.072,0.27,0.4359,0.007504,1.45,0.99,2012-01-22,37MmleN,"ts_skewness(vec_avg(fnd14_latest_tax_fees_sum),120)",FAIL,PASS,PASS,FAIL,FAIL,PASS,WARNING,WARNING
8,10228376,20000000,12,13,0.1621,0.2936,0.2725,0.003623,1.33,0.99,2012-01-22,JpVaQmA,"ts_skewness(vec_avg(fnd14_mail_state),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
9,10043871,20000000,12,12,0.1608,0.2883,0.2725,0.003585,1.3,0.97,2012-01-22,GwqjO8J,"ts_skewness(vec_avg(fnd14_mail_state_name),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
