,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,10980152,20000000,1417,1185,0.156,0.1099,0.3546,0.00141,0.34,0.4,2012-01-22,ng155pa,"ts_skewness(vec_avg(mws36_novelty_oldest_span),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,946219,20000000,1000,1073,0.0911,0.0235,0.051,0.000517,0.33,0.76,2012-01-22,Vpvbb1w,"ts_skewness(vec_avg(mws36_relevance),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
2,8746935,20000000,1389,1697,0.0752,0.0876,0.6427,0.002329,0.3,0.36,2012-01-22,p6qeemb,"ts_skewness(vec_avg(mws36_sentiment_phrase_positive),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,1846128,20000000,1527,1562,0.068,0.0185,0.0431,0.000544,0.26,0.67,2012-01-22,LpPYYj6,"ts_skewness(vec_avg(mws36_sentiment_positive_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
4,1808927,20000000,1566,1445,0.0765,0.0181,0.0325,0.000473,0.25,0.66,2012-01-22,eOlZZmN,"ts_skewness(vec_avg(mws36_novelty),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,8175089,20000000,1414,1187,0.1514,0.0818,0.5248,0.001081,0.21,0.29,2012-01-22,m8PWW39,"ts_skewness(vec_avg(mws36_novelty_newest_span),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,634377,20000000,1470,1619,0.0702,0.0064,0.0547,0.000181,0.05,0.24,2012-01-22,xxK7prl,"ts_skewness(vec_avg(mws36_total_words),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
7,1535345,20000000,1437,1638,0.0738,0.0154,0.8904,0.000417,0.03,0.08,2012-01-22,Op1XXOb,"ts_skewness(vec_avg(mws36_sentiment_phrase_negative),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
8,-94489,20000000,1426,1662,0.0759,-0.0009,0.5526,-2.5e-05,-0.0,-0.01,2012-01-22,adrm979,"ts_skewness(vec_avg(mws36_sentiment_words_positive),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
9,-1038870,20000000,1563,1526,0.0715,-0.0104,0.1365,-0.000291,-0.1,-0.36,2012-01-22,7wkRR72,"ts_skewness(vec_avg(mws36_sentiment_negative_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
10,-824419,20000000,1125,1312,0.1713,-0.0219,0.1435,-0.000255,-0.1,-0.29,2012-01-22,EwZnP6R,"ts_skewness(vec_avg(mws36_title),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,-7044319,20000000,1413,1674,0.0772,-0.0705,1.4329,-0.001826,-0.24,-0.32,2012-01-22,Vpvbblb,"ts_skewness(vec_avg(mws36_sentiment_words_negative),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
12,-2710420,20000000,1500,1402,0.0569,-0.0271,0.3235,-0.000954,-0.29,-0.63,2012-01-22,17qAAeQ,"ts_skewness(vec_avg(mws36_key_event_confidence),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
13,-3453023,20000000,1480,1609,0.0661,-0.0346,0.364,-0.001046,-0.6,-1.14,2012-01-22,vLK7Xkw,"ts_skewness(vec_avg(mws36_timestamp_time),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
