,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,2916313,20000000,1114,1660,0.0705,0.0292,0.5025,0.000828,0.12,0.24,2012-01-22,EwZjYQr,"ts_skewness(vec_avg(opt11_iv360rank),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,1322811,20000000,1341,1435,0.0601,0.0132,0.2856,0.000441,0.07,0.21,2012-01-22,PpJR6QL,"ts_skewness(vec_avg(opt11_iv60rating),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
2,694881,20000000,1345,1432,0.068,0.007,0.226,0.000205,0.02,0.1,2012-01-22,PpJRqPJ,"ts_skewness(vec_avg(opt11_iv360rating),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
3,332824,20000000,1101,1558,0.0532,0.0033,0.1119,0.000125,0.02,0.1,2012-01-22,Gwq2YQ3,"ts_skewness(vec_avg(opt11_earningscrushrate),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,-178887,20000000,1369,1408,0.0596,-0.0018,0.3395,-6e-05,-0.0,-0.03,2012-01-22,PpJRqxJ,"ts_skewness(vec_avg(opt11_iv30rating),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,-14255,20000000,1357,1419,0.0603,-0.0001,0.3573,-5e-06,-0.0,-0.0,2012-01-22,07bVdO1,"ts_skewness(vec_avg(opt11_iv90rating),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
6,-414896,20000000,1171,1607,0.0621,-0.0042,0.7612,-0.000134,-0.01,-0.03,2012-01-22,Qa1xqWg,"ts_skewness(vec_avg(opt11_iv30percentile),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,-340723,20000000,1197,1486,0.0939,-0.0034,0.1328,-7.3e-05,-0.01,-0.08,2012-01-22,Gwq26P0,"ts_skewness(vec_avg(opt11_tradingdaysuntilearnings),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,-504282,20000000,1195,1488,0.0947,-0.005,0.1432,-0.000107,-0.02,-0.12,2012-01-22,xxKL9vl,"ts_skewness(vec_avg(opt11_calendardaysuntilearnings),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
9,-2081983,20000000,1193,1586,0.0622,-0.0208,0.5622,-0.00067,-0.07,-0.18,2012-01-22,Gwq2YX3,"ts_skewness(vec_avg(opt11_iv360percentile),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
10,-2813897,20000000,1061,1713,0.0626,-0.0282,0.5556,-0.000899,-0.11,-0.23,2012-01-22,qAKad91,"ts_skewness(vec_avg(opt11_iv60rank),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,-5897975,20000000,1102,1672,0.0671,-0.0591,0.6499,-0.001761,-0.3,-0.43,2012-01-22,7wk5Q7b,"ts_skewness(vec_avg(opt11_iv90rank),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
12,-6699661,20000000,1188,1591,0.065,-0.0671,1.1692,-0.002065,-0.32,-0.44,2012-01-22,7wk50G1,"ts_skewness(vec_avg(opt11_iv60percentile),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
13,-5912895,20000000,1078,1696,0.0675,-0.0592,0.661,-0.001754,-0.34,-0.49,2012-01-22,AwRpYLl,"ts_skewness(vec_avg(opt11_iv30rank),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
14,-7965644,20000000,1200,1579,0.0682,-0.0798,1.1064,-0.002338,-0.39,-0.49,2012-01-22,k3xwXdl,"ts_skewness(vec_avg(opt11_iv90percentile),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
