,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,3633459,20000000,7,7,0.1177,0.2455,0.1762,0.004172,1.84,1.31,2012-01-22,5wxd0r5,"ts_skewness(vec_avg(pv64_out_stal_fund_ira_invest),120)",FAIL,PASS,PASS,FAIL,FAIL,PASS,WARNING,WARNING
1,2482578,20000000,711,628,0.0839,0.0678,0.0486,0.001616,1.15,1.56,2012-01-22,OpOjZPb,"ts_skewness(vec_avg(pv64_cins_dif_rcode),120)",FAIL,PASS,PASS,FAIL,PASS,PASS,WARNING,WARNING
2,25981483,20000000,14,12,0.0733,0.3172,1.4683,0.008649,1.08,0.68,2012-01-22,07q2nnp,"ts_skewness(vec_avg(pv64_out_stal_min_subsequent_invest),120)",FAIL,PASS,PASS,FAIL,FAIL,PASS,WARNING,WARNING
3,24444996,20000000,1247,1064,0.0674,0.2891,0.6763,0.008575,0.93,0.61,2012-01-22,QaMA7LG,"ts_skewness(vec_avg(pv64_dif_fund_min_invest),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,11550910,20000000,11,17,0.0728,0.1552,0.2207,0.004265,0.82,0.74,2012-01-22,jZvJ8p5,"ts_skewness(vec_avg(pv64_dif_stal_front_load),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
5,10311296,20000000,1125,960,0.0662,0.1219,0.315,0.003683,0.79,0.8,2012-01-22,9wY3V19,"ts_skewness(vec_avg(pv64_dif_max_redemp_fee),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,10312378,20000000,1125,960,0.0662,0.122,0.315,0.003683,0.79,0.8,2012-01-22,6w7Qpop,"ts_skewness(vec_avg(pv64_dif_fund_early_withdraw_fee),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,7257191,20000000,1124,1084,0.082,0.0839,0.2414,0.002046,0.71,0.87,2012-01-22,vL8XJqQ,"ts_skewness(vec_avg(pv64_px_stal_px_last),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
8,8365683,20000000,1050,1036,0.0559,0.0989,0.1702,0.00354,0.68,0.77,2012-01-22,7wWrzQZ,"ts_skewness(vec_avg(pv64_dif_fund_asset_alloc_muni),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,4713317,20000000,920,1183,0.0967,0.0545,0.0533,0.001127,0.67,1.01,2012-01-22,LpWYqzm,"ts_skewness(vec_avg(pv64_px_stal_px_ask),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
